Station_ID,Site_Name,Sample_Collection_Month,Sample_Collection_Year,Sample_Type,Matrix,Taxa,Arsenic,Cadmium,RC_Flag_Cadmium,Flag_Cadmium,Chromium,RC_Flag_Chromium,Flag_for_Chromium,Copper,Iron,Manganese,Nickel,RC_Lead,Lead,RC_Flag_Lead,Flag_Lead,Zinc,Notes_from_laboratory
12323600,"Silver Bow Creek at Opportunity, MT",July,2021,Regular,Biota,Hydropsyche occidentalis,6.02,2.45,NA,NA,0.97,NA,NA,96,1288,3850,2.03,NA,4.62,NA,NA,461,NA
12323600,"Silver Bow Creek at Opportunity, MT",July,2021,Regular,Biota,Hydropsyche cockerelli,7.05,4.61,NA,NA,2.3,NA,NA,160,3048,2992,3.08,NA,9.46,NA,NA,592,NA
12323600,"Silver Bow Creek at Opportunity, MT",July,2021,Regular,Biota,Hydropsyche cockerelli,6.56,4.1,NA,NA,1.73,NA,NA,148,2148,2641,2.43,NA,8.38,NA,NA,530,NA
12323750,"Silver Bow Creek at Warm Springs, MT",July,2021,Regular,Biota,Hydropsyche cockerelli,32.7,0.98,NA,NA,1.3,NA,NA,39.6,2281,3748,1.68,NA,4.89,NA,NA,166,NA
12323750,"Silver Bow Creek at Warm Springs, MT",July,2021,Regular,Biota,Hydropsyche occidentalis,22,0.64,NA,NA,0.85,NA,NA,36.3,1462,2862,1.12,NA,2.96,NA,NA,129,NA
12323800,"Clark Fork near Galen, MT",July,2021,Regular,Biota,Hydropsyche occidentalis,10.5,1,NA,NA,1.43,NA,NA,90.1,1449,2190,2.78,NA,4.88,NA,NA,184,NA
12323800,"Clark Fork near Galen, MT",July,2021,Regular,Biota,Hydropsyche occidentalis,10.1,1.06,NA,NA,1.13,NA,NA,89,1282,2148,2.78,NA,4.99,NA,NA,181,NA
461415112450801,"Clark Fork below Lost Creek near Galen, MT ",July,2021,Regular,Biota,Hydropsyche occidentalis,15,1.4,NA,NA,1.48,NA,NA,163,1699,1610,1.72,NA,17.7,NA,NA,221,NA
461415112450801,"Clark Fork below Lost Creek near Galen, MT ",July,2021,Regular,Biota,Hydropsyche occidentalis,15.8,1.46,NA,NA,1.62,NA,NA,183,2093,1770,1.95,NA,20.7,NA,NA,236,NA
461415112450801,"Clark Fork below Lost Creek near Galen, MT ",July,2021,Regular,Biota,Rhyacophila sp.,4.19,3.55,NA,NA,0.44,<,RL,52.6,287,645,0.31,NA,4.3,NA,NA,309,NA
461559112443301,"Clark Fork at County Bridge near Racetrack, MT ",July,2021,Regular,Biota,Hydropsyche occidentalis,10.1,1.12,NA,NA,1.03,NA,NA,83.3,1098,2088,1.33,NA,4.36,NA,NA,166,NA
461559112443301,"Clark Fork at County Bridge near Racetrack, MT ",July,2021,Regular,Biota,Hydropsyche occidentalis,10,1.27,NA,NA,0.93,NA,NA,80.9,1377,1962,1.34,NA,4.33,NA,NA,171,NA
461903112440701,"Clark Fork at Demspey Creek diversion near Racetrack, MT ",July,2021,Regular,Biota,Hydropsyche cockerelli,9.89,1.58,NA,NA,1.11,NA,NA,96.4,1081,1229,0.98,NA,5.52,NA,NA,169,NA
461903112440701,"Clark Fork at Demspey Creek diversion near Racetrack, MT ",July,2021,Regular,Biota,Hydropsyche cockerelli,11.4,1.64,NA,NA,1.5,NA,NA,108,1497,1413,1.16,NA,7.12,NA,NA,180,NA
461903112440701,"Clark Fork at Demspey Creek diversion near Racetrack, MT ",July,2021,Regular,Biota,Hydropsyche cockerelli,9.89,1.64,NA,NA,1.4,NA,NA,102,1386,1292,1.04,NA,6.7,NA,NA,169,NA
461903112440701,"Clark Fork at Demspey Creek diversion near Racetrack, MT ",July,2021,Regular,Biota,Hydropsyche occidentalis,6.91,0.85,NA,NA,0.65,NA,NA,64.1,687,989,0.7,NA,3.47,NA,NA,140,NA
12324200,"Clark Fork at Deer Lodge, MT",July,2021,Regular,Biota,Hydropsyche cockerelli,10.8,1.48,NA,NA,2.07,NA,NA,120,1824,1302,1.17,NA,11.1,NA,NA,176,NA
12324200,"Clark Fork at Deer Lodge, MT",July,2021,Regular,Biota,Hydropsyche cockerelli,9.56,1.59,NA,NA,1.44,NA,NA,109,1561,1215,1.09,NA,9.07,NA,NA,166,NA
12324200,"Clark Fork at Deer Lodge, MT",July,2021,Regular,Biota,Hydropsyche occidentalis,6.95,0.95,NA,NA,1,NA,NA,78.3,904,1287,0.89,NA,5.97,NA,NA,148,NA
12324200,"Clark Fork at Deer Lodge, MT",July,2021,Regular,Biota,Hydropsyche occidentalis,6.02,0.77,NA,NA,0.86,NA,NA,72.3,784,955,0.73,NA,5.31,NA,NA,138,NA
12344000,"Clark Fork above Little Blackfoot River near Garrison, MT",July,2021,Regular,Biota,Claassenia sabulosa,2.5,1.33,NA,NA,0.37,NA,NA,67,235,333,0.38,NA,1.4,NA,NA,192,NA
12344000,"Clark Fork above Little Blackfoot River near Garrison, MT",July,2021,Regular,Biota,Hydropsyche occidentalis,10.6,1.69,NA,NA,1.67,NA,NA,126,1717,4282,2.25,NA,6.95,NA,NA,232,NA
12344000,"Clark Fork above Little Blackfoot River near Garrison, MT",July,2021,Regular,Biota,Hydropsyche occidentalis,8.88,1.48,NA,NA,1.3,NA,NA,110,1109,2289,1.45,NA,8.4,NA,NA,204,NA
12344000,"Clark Fork above Little Blackfoot River near Garrison, MT",July,2021,Regular,Biota,Hydropsyche occidentalis,9.59,1.42,NA,NA,1.41,NA,NA,113,1261,2712,1.58,NA,9.35,NA,NA,210,NA
