Station_ID,Site_Name,Sample_Collection_Month,Sample_Collection_Year,Sample_Type,Matrix,Arsenic,Cadmium,Chromium,Copper,Iron,Manganese,Nickel,RC_Flag_Nickel,Flag_Nickel,Lead,Zinc,Notes_from_laboratory
12323600,"Silver Bow Creek at Opportunity, MT ",July,2021,Regular,Sediment,40.1,14.5,22.4,777,26297,5713,12.1,NA,NA,107,2689,NA
12323600,"Silver Bow Creek at Opportunity, MT ",July,2021,Regular,Sediment,30.3,12.9,22.7,502,25604,7586,12.4,NA,NA,66.4,2700,NA
12323600,"Silver Bow Creek at Opportunity, MT ",July,2021,Regular,Sediment,34.8,13.5,26,702,28117,5758,12.8,<,RL,87.8,2578,NA
12323600,"Silver Bow Creek at Opportunity, MT ",July,2021,Duplicate,Sediment,36.8,12.2,25.8,704,28449,5770,13.7,NA,NA,104,2584,NA
12323750,"Silver Bow Creek at Warm Springs, MT",July,2021,Regular,Sediment,37.3,4.62,32,224,23098,638,13.4,NA,NA,65.5,450,NA
12323750,"Silver Bow Creek at Warm Springs, MT",July,2021,Duplicate,Sediment,38.6,4.63,32.2,228,22796,638,13,<,RL,64.7,449,NA
12323750,"Silver Bow Creek at Warm Springs, MT",July,2021,Regular,Sediment,31.2,3.48,26.3,161,21448,525,10.2,NA,NA,49.8,413,NA
12323750,"Silver Bow Creek at Warm Springs, MT",July,2021,Regular,Sediment,65.8,4.68,31.6,241,25402,2554,14.3,NA,NA,69.3,487,high As and Mn for PO-3 in both dilutions
12323800,"Clark Fork near Galen, MT",July,2021,Regular,Sediment,85.6,4.05,27,758,25738,5256,23.7,NA,NA,94.2,851,NA
12323800,"Clark Fork near Galen, MT",July,2021,Regular,Sediment,62.6,3.42,23.9,648,21696,5752,22.1,NA,NA,78.1,667,NA
12323800,"Clark Fork near Galen, MT",July,2021,Regular,Sediment,89.4,6.27,22.3,720,22589,12124,27.9,NA,NA,86.9,934,NA
12323800,"Clark Fork near Galen, MT",July,2021,Duplicate,Sediment,89.9,6.35,23.4,713,23035,12251,28.2,<,RL,78.5,934,NA
461415112450801,"Clark Fork below Lost Creek near Galen, MT ",July,2021,Regular,Sediment,85.1,3.74,25.6,1191,26608,3597,15.4,NA,NA,146,950,NA
461415112450801,"Clark Fork below Lost Creek near Galen, MT ",July,2021,Regular,Sediment,119,5.84,25.5,1506,29092,9461,19.6,NA,NA,163,1285,NA
