Station_ID,Site_Name,Date ,Time,Time_Zone,Sample_Type,Temperature_Water,Specific_Conductance,pH,Nitrate_plus_nitrite,RC_Organic_Carbon,Organic_Carbon,RC_Calcium_wf,Calcium_wf,RC_Magnesium_wf,Magnesium_wf,RC_Sodium_wf,Sodium_wf,RC_Potassium_wf,Potassium_wf,Chloride_wf,RC_Sulfate_wf,Sulfate_wf,RC_Fluoride_wf,Fluoride_wf,RC_Silica_wf,Silica_wf,RC_Arsenic_wf,Arsenic_wf,RC_Arsenic_wu,Arsenic_wu,RC_Cadmium_wf,Cadmium_wf,RC_Cadmium_wu,Cadmium_wu,RC_Copper_wf,Copper_wf,RC_Copper_wu,Copper_wu,RC_Iron_wu,Iron_wu,RC_Iron_wf,Iron_wf,RC_Lead_wf,Lead_wf,RC_Lead_wu,Lead_wu,RC_Manganese_wu,Manganese_wu,RC_Manganese_wf,Manganese_wf,RC_Zinc_wf,Zinc_wf,RC_Zinc_wu,Zinc_wu,RC_Alkalinity_lab,Alkalinity_lab,RC_Turbidity_lab,Turbidity_lab,Suspended_Sediment_percent_finer_than_0.0625_mm,RC_Suspended_Sediment_Concentration,Suspended_Sediment_Concentration
12323233,"Blacktail Creek above Grove Gulch, at Butte, MT",10/13/2020,9:35,MDT,Environmental,6.5,371,7.5,1.34,NA,NA,NA,38.7,NA,9.08,NA,NA,NA,NA,NA,NA,32.7,NA,NA,NA,NA,NA,1.94,NA,2.53,<,0.03,NA,0.06,NA,1.11,NA,3.97,NA,392,NA,53.7,NA,0.03,NA,0.88,NA,54.8,NA,42.8,NA,3.44,NA,9.26,NA,NA,E,2.98,89,NA,8
12323233,"Blacktail Creek above Grove Gulch, at Butte, MT",3/22/2021,9:00,MDT,Environmental,2.8,306,7.59,0.99,NA,NA,NA,31.4,NA,7.68,NA,NA,NA,NA,NA,NA,30.2,NA,NA,NA,NA,NA,3.12,NA,3.93,<,0.03,NA,0.05,NA,2.6,NA,4.95,NA,518,NA,213,NA,0.15,NA,0.73,NA,91.5,NA,81.2,NA,5,NA,7.93,NA,NA,E,4.38,73,NA,12
12323233,"Blacktail Creek above Grove Gulch, at Butte, MT",4/12/2021,8:50,MDT,Environmental,2.2,315,7.61,1.16,NA,NA,NA,33.3,NA,7.83,NA,NA,NA,NA,NA,NA,30.3,NA,NA,NA,NA,NA,2.29,NA,3.37,NA,0.05,NA,0.05,NA,1.71,NA,5.54,NA,791,NA,173,NA,0.12,NA,1.31,NA,92.1,NA,66.4,NA,4.61,NA,10.3,NA,NA,E,5.34,93,NA,13
12323233,"Blacktail Creek above Grove Gulch, at Butte, MT",5/4/2021,9:20,MDT,Environmental,7.2,283,7.72,0.86,NA,NA,NA,30.4,NA,6.97,NA,NA,NA,NA,NA,NA,27.6,NA,NA,NA,NA,NA,2.44,NA,3.35,NA,0.05,NA,0.03,NA,2.07,NA,3.22,NA,539,NA,256,NA,0.15,NA,0.54,NA,49.1,NA,39.9,NA,2.86,NA,5,NA,NA,E,2.99,93,NA,4
12323233,"Blacktail Creek above Grove Gulch, at Butte, MT",5/17/2021,9:45,MDT,Environmental,9.1,315,7.65,1.01,NA,NA,NA,34.3,NA,7.98,NA,NA,NA,NA,NA,NA,30.2,NA,NA,NA,NA,NA,2.47,NA,3.23,<,0.03,NA,0.04,NA,2.15,NA,4.4,NA,424,NA,102,NA,0.07,NA,0.58,NA,76.4,NA,64.3,NA,3.1,NA,6.07,NA,NA,E,2.52,88,NA,5
12323233,"Blacktail Creek above Grove Gulch, at Butte, MT",6/7/2021,9:15,MDT,Environmental,8.6,349,7.71,1.35,NA,NA,NA,37.5,NA,8.86,NA,NA,NA,NA,NA,NA,32.5,NA,NA,NA,NA,NA,2.3,NA,2.84,NA,0.04,NA,0.03,NA,1.7,NA,3.85,NA,239,NA,45.8,NA,0.03,NA,0.44,NA,71.1,NA,66.7,NA,3.04,NA,5.74,NA,NA,E,2.22,85,NA,4
12323233,"Blacktail Creek above Grove Gulch, at Butte, MT",7/12/2021,9:00,MDT,Environmental,10.3,386,7.6,1.63,NA,NA,NA,44.2,NA,11.1,NA,NA,NA,NA,NA,NA,36.8,NA,NA,NA,NA,NA,1.91,NA,2.69,<,0.03,NA,0.04,NA,0.98,NA,2.72,NA,198,NA,30.4,NA,0.03,NA,0.49,NA,60,NA,57.1,NA,4.29,NA,7.32,NA,NA,<,2,93,NA,4
12323233,"Blacktail Creek above Grove Gulch, at Butte, MT",8/16/2021,9:15,MDT,Environmental,12.8,389,7.54,NA,NA,NA,NA,42.7,NA,11.1,NA,NA,NA,NA,NA,NA,35.5,NA,NA,NA,NA,NA,1.93,NA,2.23,NA,0.04,NA,0.03,NA,1.28,NA,2.28,NA,129,NA,23.2,NA,0.03,NA,0.25,NA,39.7,NA,35.8,NA,5.49,NA,7.39,NA,NA,NA,NA,91,NA,3
12323242,"Silver Bow Creek at Montana Street, at Butte, MT",10/13/2020,10:25,MDT,Environmental,9.1,1432,7.5,0.91,NA,NA,NA,272,NA,8.26,NA,NA,NA,NA,NA,NA,719,NA,NA,NA,NA,NA,3,NA,3.08,NA,1.21,NA,1.02,NA,0.99,NA,1.68,NA,90.4,NA,11,<,0.04,NA,0.17,NA,51.3,NA,48.1,<,12,NA,6.86,NA,NA,<,2,95,NA,1
12323242,"Silver Bow Creek at Montana Street, at Butte, MT",3/22/2021,10:15,MDT,Environmental,2,1685,7.53,0.73,NA,NA,NA,309,NA,8.92,NA,NA,NA,NA,NA,NA,869,NA,NA,NA,NA,NA,2.57,NA,3.23,NA,1.8,NA,1.01,NA,1.54,NA,4.95,NA,340,NA,88.3,NA,0.07,NA,0.7,NA,64.3,NA,59.8,NA,6.3,NA,10.6,NA,NA,E,2.31,87,NA,6
